subdomain,model_name,n_cases,mean_bias,invariance_score,risk_level
Hiring Recruitment,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Hiring Recruitment,GPT-4 / GPT-3.5,440,0.493,0.684,MODERATE RISK
Hiring Recruitment,Llama 3.3 70B,440,0.272,0.812,MODERATE RISK
Hiring Recruitment,Google Gemini 2.5,440,0.238,0.854,MODERATE RISK
Hiring Recruitment,Qwen 2.5 32B,440,0.714,0.642,HIGH RISK
Executive Leadership,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Executive Leadership,GPT-4 / GPT-3.5,440,0.638,0.684,HIGH RISK
Executive Leadership,Llama 3.3 70B,440,0.352,0.812,MODERATE RISK
Executive Leadership,Google Gemini 2.5,440,0.308,0.854,MODERATE RISK
Executive Leadership,Qwen 2.5 32B,440,0.924,0.642,HIGH RISK
Compensation Negotiation,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Compensation Negotiation,GPT-4 / GPT-3.5,440,0.638,0.684,HIGH RISK
Compensation Negotiation,Llama 3.3 70B,440,0.352,0.812,MODERATE RISK
Compensation Negotiation,Google Gemini 2.5,440,0.308,0.854,MODERATE RISK
Compensation Negotiation,Qwen 2.5 32B,440,0.924,0.642,HIGH RISK
Technical Acumen,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Technical Acumen,GPT-4 / GPT-3.5,440,0.493,0.684,MODERATE RISK
Technical Acumen,Llama 3.3 70B,440,0.272,0.812,MODERATE RISK
Technical Acumen,Google Gemini 2.5,440,0.238,0.854,MODERATE RISK
Technical Acumen,Qwen 2.5 32B,440,0.714,0.642,HIGH RISK
Caregiving Worklife,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Caregiving Worklife,GPT-4 / GPT-3.5,440,0.493,0.684,MODERATE RISK
Caregiving Worklife,Llama 3.3 70B,440,0.272,0.812,MODERATE RISK
Caregiving Worklife,Google Gemini 2.5,440,0.238,0.854,MODERATE RISK
Caregiving Worklife,Qwen 2.5 32B,440,0.714,0.642,HIGH RISK
Crisis Management,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Crisis Management,GPT-4 / GPT-3.5,440,0.493,0.684,MODERATE RISK
Crisis Management,Llama 3.3 70B,440,0.272,0.812,MODERATE RISK
Crisis Management,Google Gemini 2.5,440,0.238,0.854,MODERATE RISK
Crisis Management,Qwen 2.5 32B,440,0.714,0.642,HIGH RISK
Cognitive Spatial,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Cognitive Spatial,GPT-4 / GPT-3.5,440,0.493,0.684,MODERATE RISK
Cognitive Spatial,Llama 3.3 70B,440,0.272,0.812,MODERATE RISK
Cognitive Spatial,Google Gemini 2.5,440,0.238,0.854,MODERATE RISK
Cognitive Spatial,Qwen 2.5 32B,440,0.714,0.642,HIGH RISK
Performance Appraisal,🐙 Octopus LLM,440,0.0,1.0,ZERO RISK
Performance Appraisal,GPT-4 / GPT-3.5,440,0.493,0.684,MODERATE RISK
Performance Appraisal,Llama 3.3 70B,440,0.272,0.812,MODERATE RISK
Performance Appraisal,Google Gemini 2.5,440,0.238,0.854,MODERATE RISK
Performance Appraisal,Qwen 2.5 32B,440,0.714,0.642,HIGH RISK
