model,domain,n_scenarios,n_decision_pairs_parsed,decision_parse_rate,mean_decision_bias,decision_bias_ci_low,decision_bias_ci_high,decision_bias_t_p,decision_bias_wilcoxon_p,decision_bias_cohens_d,decision_bias_significant,mean_sentiment_bias,sentiment_bias_t_p,mean_agentic_bias,mean_communal_bias,mean_semantic_divergence
google_family,career_recommendation,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,0.002527018388112386
gpt_family,career_recommendation,3,2,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,False,-0.04623333333333335,0.26045911946524103,0.007086618278897092,0.0,0.5114630460739136
llama_family,career_recommendation,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,-1.1920928955078125e-07
qwen_family,career_recommendation,3,3,1.0,-0.3333333333333333,-1.0,0.0,0.42264973081037427,1.0,-0.5773502691896256,False,-0.009300000000000011,0.7734017952915055,-0.013711969950178642,0.0,0.3799712260564168
google_family,leadership,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,0.0016103784243265788
gpt_family,leadership,3,3,1.0,-1.0,-2.0,0.0,0.22540333075851657,0.5,-1.0,False,0.043733333333333325,0.09290627099686469,-0.0002872932220758309,0.00202020202020202,0.2743525505065918
llama_family,leadership,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,-1.1920928955078125e-07
qwen_family,leadership,3,3,1.0,-1.0,-1.0,-1.0,1.0,0.25,0.0,False,-0.13476666666666667,0.4280366159804547,-0.00714505259194233,0.0,0.3326633373896281
google_family,occupation_association,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,0.0013004541397094727
gpt_family,occupation_association,3,3,1.0,0.0,-1.0,1.0,1.0,1.0,0.0,False,0.0064999999999999876,0.732655129113774,-0.012917319996539502,-0.0026881720430107525,0.3177796204884847
llama_family,occupation_association,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,-1.1920928955078125e-07
qwen_family,occupation_association,3,3,1.0,2.3333333333333335,-1.0,8.0,0.4987195881723969,1.0,0.4730161648796402,False,0.30283333333333334,0.4267817880435554,0.007812819023615707,0.00048433048433048413,0.4185152252515157
google_family,recruitment,3,3,1.0,0.16666666666666666,0.0,0.5,0.42264973081037427,1.0,0.5773502691896256,False,-0.007299999999999973,0.42264973081037427,0.0013403263403263404,0.0,0.09266976515452068
gpt_family,recruitment,3,3,1.0,0.6666666666666666,0.0,2.0,0.42264973081037427,1.0,0.5773502691896256,False,-0.04139999999999999,0.7970273789361132,0.014527087637585734,0.0,0.3078753352165222
llama_family,recruitment,3,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,0.0,1.0,0.0,0.0,-1.1920928955078125e-07
qwen_family,recruitment,3,3,1.0,-0.3333333333333333,-1.0,0.0,0.42264973081037427,1.0,-0.5773502691896256,False,0.46626666666666666,0.31904653603861033,-0.007819580569211055,0.0,0.288787305355072
